cytoband	2q31.2	9p21.3	2p11.1	1p35.2	1q31.1	20q11.1	10q11.21	14q32.33	16p12.3	19q13.2	18q21.2	1q21.1	17p11.2	16p11.2	Yq11.221	17p13.1	17q24.2	Xp22.33	6p25.1	7q36.3	22q11.22	4q35.2	6q25.3	19q13.42	7q34	12q21.31	22q13.33	16q11.2	15q14	6q11.1	12p13.33	1q44	2p23.1	9q21.31	
																		XG	PKHD1							DDX55			HDGFRP3		SLC2A14	FMOD	MSH2	TRAF2	
																		XIST	PLAGL1							NTN4			RPS27L		LINC00477	MTOR	MTIF2	TSC1	
																		XK	PLG							TRPV4			NDUFAF1		A2ML1	NR5A2	MYCN	TTF1	
																		XPNPEP2	PLN							LHX5			RSL24D1		A2M-AS1	FUCA1	MYL1	TXN	
																		ZFX	POLH							SUDS3			NUSAP1		C12orf60	ACKR1	MYO7B	TYRP1	
																		ZIC3	POU3F2							ACTR6			RASL12		FBXL14	IFI6	NAB1	UGCG	
																		ZNF711	POU5F1							C12orf43			SPG21		CLEC12A	GABRD	NCL	VAV2	
																		ZNF182	PPARD							VPS33A			SPTBN5		CLECL1	GALE	NEB	VCP	
																		ZNF41	PPP1R10							RSRC2			HACD3		CLEC4C	GALNT2	NDUFA10	VLDLR	
																		ZNF75D	PPP2R5D							AACS			CTDSPL2		ZNF384	GBA	NDUFB3	CORO2A	
																		ZNF157	PREP							NUP37			RAB8B		DSTNP2	GBAP1	NDUFS1	XPA	
																		RNF113A	PRIM2							DDX54			BTBD1		C12orf77	GBP1	SEPT2	ZFP37	
																		ZXDA	PKIB							GNPTAB			TM6SF1		PIANP	GBP2	NEU2	ZNF79	
																		GTPBP6	MAPK13							B3GNT4			DUOX1		DCP1B	GBP3	NEUROD1	ZNF189	
																		PUDP	PRL							TCTN1			CSNK1G1		LINC00612	GFI1	NFE2L2	ZFAND5	
																		AKAP17A	PSMB8							ACSS3			ZFAND6		TAS2R43	GJA4	NPAS2	NR4A3	
																		PNPLA4	PSMB9							OGFOD2			DLL4		TAS2R31	GJA5	NPHP1	BRD3	
																		ZRSR2	PTK7							VPS37B			SCAND2P		TAS2R46	GJA8	NPPC	NUP214	
																		USP11	PTPRK							BBS10			INO80		TAS2R30	GJB3	NR4A2	LHX3	
																		USP9X	RGL2							C12orf49			FAM63B		TAS2R19	GJB5	ODC1	GFI1B	
																		RBM10	PRPH2							TCTN2			RNF111		TAS2R20	GCLM	ORC2	PIP5K1B	
																		KDM5C	REV3L							NAA25			ZNF280D		TAS2R50	GLUL	ORC4	RECK	
																		SMC1A	TRIM27							SLC8B1			TRPM7		C1RL-AS1	GNAI3	OTX1	IKBKAP	
																		SRPX	RHAG							CEP290			VPS13C		CD163L1	GNAT2	REG3A	CDC14B	
																		UXT	RING1							RNF34			LRRC49		RPL13P5	GNB1	PAX3	TMEFF1	
																		CUL4B	BRD2							CCDC92			PAQR5		B4GALNT3	GNG4	PCBP1	SSNA1	
																		IRS4	RNF5							MTERF2			PPP1R14D		CLEC9A	GNG5	PDCD1	EDF1	
																		OGT	ROS1							ACAD10			DPP8		LINC01559	SFN	PDE1A	CTNNAL1	
																		OFD1	RPS10							GLT8D2			RPP25		LOC283440	GPR3	PDE6D	MPDZ	
																		PIR	RPS12							KCTD10			COMMD4		CLEC4D	GPR25	PDK1	FBP2	
																		INE2	RPS18							USP44			PARP16		LINC01252	GPX7	PEX13	DPM2	
																		INE1	RREB1							SLC41A2			TIPIN		SLCO1B7	GRIK3	VIT	FUBP3	
																		CASK	RXRB							LRRIQ1			CLN6		ACSM4	GSTM1	SERPINE2	CLIC3	
																		ASMTL	VPS52							METTL25			ZSCAN2		TAS2R42	GSTM2	PIGF	PRPF4	
																		PAGE1	ATXN1							TCHP			ZWILCH		DPPA3	GSTM3	PLCL1	KLF4	
																		MTMR1	SRSF3							COQ5			FLJ10038		NANOGNB	GSTM4	PLEK	GTF3C5	
																		FGF16	SGK1							HVCN1			UACA		LOC374443	GSTM5	PLGLB2	GTF3C4	
																		AKAP4	SIM1							SRRM4			HAUS2		CLEC2A	GTF2B	PLGLB1	CER1	
																		APLN	SKIV2L							CCDC62			RMDN3		CLEC12B	GUCA2A	PMS1	LHX2	
																		AP1S2	SLC17A1							KDM2B			DNAJC17		RPL13AP20	GUCA2B	POLR2D	PLAA	
																		GYG2	SLC22A1							CAPS2			IMP3		LINC00937	GUK1	POMC	GRHPR	
																		FAM127A	SLC22A3							UNC119B			LARP6		LOC400002	H3F3A	POU3F3	FAM189A2	
																		SLC25A14	SLC22A2							USP30			MNS1		MIR141	HCRTR1	PPM1B	TJP2	
																		CLDN2	SMPD2							ORAI1			DNAJA4		MIR200C	HDAC1	PPM1G	MED27	
																		RGN	SNRPC							RNFT2			GOLGA6B		IQSEC3	HDGF	PPP1CB	PTGES	
																		AIFM1	SOD2							FAM222A			MYO5C		ZNF705A	CFH	PPP1R7	ATP6V1G1	
																		TMEM257	SOX4							RITA1			FAM214A		FAM66C	CFHR1	PPP3R1	GABBR2	
																		REPS2	SRF							FAM222A-AS1			C15orf39		DDX12P	CFHR2	PRKCE	GDA	
																		ZBED1	SRPK1							ANKRD13A			THAP10		SMCO3	ZBTB48	EIF2AK2	GNA14	
																		ZMYM3	SSR1							NAV3			PAK6		LOH12CR2	MR1	PROC	RALGPS1	
																		BMP15	ELOVL4							TMEM116			PARP6		LOC574538	HLX	PSMD1	ADAMTSL2	
																		MED14	TAF11							UBE3B			DTWD1		POU5F1P3	HMGN2	PTH2R	RGP1	
																		TCEAL1	MAP3K7							TMEM263			KNL1		LOC642846	HMGCL	PTMA	TRIM14	
																		RAB33A	TAP1							C12orf29			FAM219B		FAM86FP	HMGCS2	PTPN4	MELK	
																		RAB9A	TAP2							C12orf65			ADAMTSL3		PRB2	HNRNPU	PTPRN	RUSC2	
																		TSIX	TAPBP							BICDL1			CEMIP		LRTM2	HPCA	RAB1A	PPP1R26	
																		ITM2A	TBCC							SDSL			STARD9		SCARNA12	HSD3B1	RALB	SEC16A	
																		ARHGEF6	TCF19							TMEM132B			ALPK3		SCARNA11	HSD3B2	RANBP2	ZBTB5	
																		PCYT1B	TCF21							OSBPL8			ISLR2		FAM138D	HSD11B1	RBMS1	PUM3	
																		MAGED1	TCP1							IQCD			VPS18		CD27-AS1	HSPA6	REL	TNFSF15	
																		XAGE2	TCP11							DEPDC4			IGDCC4		SCARNA10	HSPA7	REG1A	PTBP3	
																		PAGE4	PPP1R11							CCDC38			SQRDL		MIR613	IGSF3	REG1B	GNE	
																		MORF4L2	DYNLT1							C12orf45			ABHD17C		MIR614	HSPG2	REG1CP	SH2D3C	
																		GPRASP1	TEAD3							NEDD1			MESDC1		SKP1P2	HTR1D	SNORD20	RCL1	
																		STARD8	TFAP2A							SLC9A7P1			PPCDC		SLC15A5	HTR6	RPE	TOPORS	
																		FRMPD4	TFAP2B							IKBIP			CELF6		LOC100049716	ID3	RPL31	RABEPK	
																		JADE3	NR2E1							ASCL4			STRA6		MIR920	IFI16	RPL37A	SIGMAR1	
																		ARMCX2	TNF							BTBD11			ZNF106		THCAT155	CYR61	RPS7	LAMC3	
																		HEPH	TNFAIP3							SPIC			KLHL25		SMIM10L1	IL6R	RPS27A	TUBB4B	
																		MAGEC1	TNXA							ANO4			CPEB1		RNU7-1	IL10	RRM2	UBAC1	
																		AMMECR1	TNXB							ALKBH2			IQCH		LINC00940	IL12RB2	RTKN	OLFM1	
																		MED12	TPBG							FOXN4			ISL2		LOC100288778	TNFRSF9	SAG	ZER1	
																		ZBTB33	TPD52L1							SPPL3			RFX7		LINC00942	ILF2	SCN1A	CREB3	
																		HDAC6	TPMT							BRI3BP			SPATA5L1		MIR1244-1	INPP5B	SCN2A	UNC13B	
																		MAMLD1	CRISP2							AMDHD1			CHAC1		MIR1244-3	INSRR	SCN3A	SEMA4D	
																		HUWE1	TSPYL1							GLIPR1L2			NOX5		MIR1244-2	IPP	SCN7A	ANP32B	
																		PQBP1	TTK							RFLNA			EFL1		KLRF2	IRF6	SCN9A	AGPAT2	
																		ADGRG2	TUBB2A							ZNF664			NEIL1		LINC00987	ITPKB	SCTR	SPTLC1	
																		ATP6AP2	TULP1							TMEM120B			ICE2		MIR3649	IVL	CCL20	POMT1	
																		TENM1	UTRN							WDR66			AAGAB		LOC100506159	JAK1	SDC1	SMC2	
																		SSX3	VARS							TSPAN19			LMAN1L		LOC100506314	JUN	SRSF7	DMRT2	
																		TIMM17B	VEGFA							E2F7			SLTM		LOC100506393	KCNA2	SFTPB	RRAGA	
																		RRAGB	EZR							SOCS2-AS1			PEAK1		LOC100507424	KCNA3	SIX3	ZBTB6	
																		SCML2	VIP							CEP83-AS1			SNX22		KLRC4-KLRK1	KCNA10	SLC4A3	NEK6	
																		SLC9A6	ZNF76							CFAP54			THSD4		PRH1-PRR4	KCNC4	SLC1A4	SDCCAG3	
																		ENOX2	ZNF165							RAD9B			ATP8B4		MIR3974	KCND3	SLC3A1	NOXA1	
																		PRDX4	TRIM26							FAM109A			WDR76		CACNA1C-AS1	KCNH1	SLC8A1	CCL27	
																		EBP	ZNF184							LINC00934			TMEM62		RERG-AS1	KCNJ9	SLC9A2	USP20	
																		STAG2	ZSCAN26							KRT19P2			SEMA6D		CACNA1C-AS4	KCNJ10	SLC11A1	ACTL7B	
																		RAI2	ZKSCAN8							TMTC2			ANP32A-IT1		CACNA1C-AS2	KCNK1	SLC20A1	ACTL7A	
																		PLAC1	ZSCAN9							TMTC3			HEXA-AS1		CACNA1C-IT2	KCNK2	SNRPG	GADD45G	
																		CYSLTR1	ZNF204P							C12orf50			PIF1		CACNA1C-IT3	KCNN3	SOS1	SPIN1	
																		UTP14A	PTP4A1							ALDH1L2			CCDC33		LOC101927905	KISS1	SOX11	SEC61B	
																		DIAPH2-AS1	DEK							SLC5A8			EDC3		LOC101928030	LAD1	SP3	SLC27A4	
																		PGRMC1	ALDH5A1							PPTC7			GOLGA2P10		LOC101928100	LAMB3	SP100	SLC35D2	
																		MAGED2	PRRC2A							CCDC63			SPG11		LOC101928162	LAMC1	SPAST	CNTRL	
																		MSL3	BAG6							CCDC60			ELL3		PLBD1-AS1	LAMC2	SPP2	WDR5	
																		TMSB15A	GPANK1							RILPL2			PLEKHO2		LINC01489	STMN1	SPR	SPACA9	
																		PIM2	DDX39B							DNAH10			WDR61		LOC101928441	LBR	SPTBN1	ADAMTS13	
																		MID2	ABHD16A							PLBD2			CD276		LOC101928471	LCK	SRD5A2	CACFD1	
																		IL1RAPL1	SLC39A7							FAM71C			STARD5		LOC101929384	LEPR	SSB	PSIP1	
																		WDR45	HSD17B8							RMST			POLR2M		LOC101929549	LGALS8	SSFA2	INSL6	
																		PRAF2	OR2H2							CCER1			VWA9		LOC101929584	LMNA	STAT1	SLC2A6	
																		CA5B	NELFE							SLC17A8			LINC00597		LOC101930452	LMX1A	STAT4	PTENP1	
																		SLC6A14	LST1							TTC41P			ADPGK		MIR7641-2	LOR	STRN	AKAP2	
																		KLF8	PLA2G7							LRRC43			APH1B		LOC102723544	LY9	SULT1C2	RPL35	
																		VSIG4	TFEB							TCP11L2			FAM103A1		LOC102724020	TACSTD2	ADAM17	MAN1B1	
																		CNKSR2	RNF217-AS1							TBX5-AS1			TLN2		CCND2-AS1	MAGOH	TACR1	DCTN3	
																		IQSEC2	EPM2A							LINC01619			FAM96A		LOC105369595	MARK1	GCFC2	FRMPD1	
																		PHF8	HIST1H4I							GLIPR1L1			MEX3B		LOC105369632	MATN1	TFPI	DOLK	
																		SEPT6	HIST1H2AI							POC1B			C15orf48		LOC105369635	MCL1	TGFA	ZNF510	
																		ARHGEF9	HIST1H2AK							OTOGL			MEGF11		LOC105369691	CD46	TIA1	HABP4	
																		ATP1B4	HIST1H2AJ							MORN3			C15orf41		PRH1-TAS2R14	SMCP	TNFAIP6	PTGR1	
																		ACOT9	HIST1H2AL							GAS2L3			SPPL2A			MDM4	TNP1	TRIM32	
																		KCNE5	HIST1H2AC							LINC00485			LINGO1			MEF2D	TNS1	FNBP1	
																		LDOC1	HIST1H2AB							MYO1H			ZFYVE19			MFAP2	TPO	SETX	
																		SMPX	HIST1H2AM							HECTD4			WDR73			MGST3	TSN	ERP44	
																		GSPT2	HIST1H2BG							KSR2			CGNL1			MNDA	TSSC1	KDM4C	
																		KIF4A	HIST1H2BL							GATC			FRMD5			MOV10	TTN	ZBTB43	
																		FTSJ1	HIST1H2BN							HNF1A-AS1			UBL7			MPL	TUBA4A	SMC5	
																		HYPM	HIST1H2BM							MMAB			DISP2			MPZ	SUMO1	KANK1	
																		MXRA5	HIST1H2BF							HCAR2			DPH6			MSH4	UCN	FAM120A	
																		EGFL6	HIST1H2BE							LINC00936			C15orf57			MTF1	UGP2	PMPCA	
																		FAM127B	HIST1H2BH							TMEM119			KNSTRN			MTHFR	VIL1	VPS13A	
																		IL1RAPL2	HIST1H2BI							LINC01089			BMF			MTR	VRK2	ASTN2	
																		ITGB1BP2	HIST1H2BC							C12orf74			SHF			MTX1	VSNL1	AGTPBP1	
																		VCX	HIST1H2BO							RILPL1			DUOXA1			MUC1	WIPF1	BICD2	
																		GAGE12I	HIST1H3A							PTPRQ			LOC91450			MUTYH	WNT6	FKBP15	
																		GAGE2E	HIST1H3D							C12orf42			CALML4			MYBPH	XDH	PHF24	
																		SNORA69	HIST1H3C							IL31			LDHAL6B			MYCL	XPO1	KIAA0368	
																		SNORD61	HIST1H3E							C12orf75			UBE2Q2			MYOC	XRCC5	EXOSC2	
																		RNU6-1	HIST1H3I							CFAP73			CHST14			MYOG	ZAP70	NCS1	
																		BEX3	HIST1H3G							TMEM233			CASC4			PPP1R12B	ZNF2	TDRD7	
																		NOX1	HIST1H3J							KMT5A			LACTB			NASP	ZNF142	SLC44A1	
																		FAM155B	HIST1H3H							MKRN9P			DIS3L			NBL1	SLC30A3	ANGPTL2	
																		INGX	HIST1H3B							C12orf76			TGM7			NCF2	PXDN	NUP188	
																		GPR82	HIST1H4A							LINC00939			CATSPER2			NDUFS2	ALMS1	CDK20	
																		GPKOW	HIST1H4D							MIR135A2			LEO1			NDUFS5	MOGS	DDX58	
																		SRPX2	HIST1H4F							LOC414300			C15orf40			NEK2	RNF103	RABGAP1	
																		APEX2	HIST1H4K							LINC00615			SENP8			NFIA	PAX8	TMEM2	
																		RBMX	HIST1H4J							PLEKHG7			MTFMT			NFYC	IL1R2	TMEM245	
																		PCDH11X	HIST1H4C							MIR331			SLC51B			NGF	MALL	FRRS1L	
																		RPS6KA6	HIST1H4H							EID3			HIGD2B			NHLH1	CXCR4	SLC24A2	
																		P2RY10	HIST1H4B							ATXN7L3B			TMEM266			NHLH2	FZD5	CIZ1	
																		HTATSF1	HIST1H4E							CLLU1OS			AGBL1			NID1	SCG2	DNAJB5	
																		PCSK1N	HIST1H4L							CLLU1			HYKK			NIT1	DYSF	DCAF12	
																		PPP2R3B	HIST1H4G							MIR492			WHAMM			NOTCH2	FZD7	WHRN	
																		CCDC22	STX7							MAP1LC3B2			FSD2			NPPA	SDPR	NELFB	
																		MCTS1	CMAHP							LOC643339			PLA2G4E			NPPB	NCK2	NIPSNAP3A	
																		MAGEH1	DHX16							LOC643711			TRIM69			NPR1	DUSP11	NSMF	
																		FAM156A	SUPT3H							LOC643770			TERB2			NRAS	CUL3	GPSM1	
																		C1GALT1C1	PEX3							SNORA53			LOC145694			NRDC	KLF11	DKFZP434A062	
																		SNX12	GCM1							MIR617			C2CD4A			YBX1	MAP4K3	GAPVD1	
																		RPA4	DDO							MIR618			FAM81A			NTRK1	PKP4	RALGAPA1P1	
																		UBQLN2	KCNK5							MIR619			GCOM1			ROR1	HAT1	PHF19	
																		SH3KBP1	STX11							MIR620			LOC145783			DDR2	DGKD	ZNF658	
																		SPANXA1	B3GALT4							LOC728084			C15orf65			NVL	AGPS	SPATA31A7	
																		FOXP3	SNX3							C12orf73			DRAIC			OPRD1	PRKRA	FBXW2	
																		TBX22	RNGTT							LOC728739			LOC145845			ORC1	STK16	SPAG8	
																		ZDHHC9	RIPK1							TMPO-AS1			C15orf61			OVGP1	SLC25A12	OR1J4	
																		RLIM	CD164							LOC100128554			TMCO5A			PAFAH2	KLF7	OR2K2	
																		TCEAL9	SYNGAP1							LINC01405			NRG4			PRDX1	ABCB11	FBXO10	
																		RAB9B	WISP3							USP30-AS1			LINC00052			PAX7	NCOA1	GBGT1	
																		LUZP4	STK19							PGAM1P5			ZSCAN29			PBX1	VAMP8	LHX6	
																		PDZD11	IER3							LINC00173			TTBK2			CDK18	MARCO	OSTF1	
																		PBDC1	SYNJ2							LOC100287944			CDAN1			PDC	B3GALT1	OR1L3	
																		TFDP3	VNN2							MIR1252			STRC			PDE4B	ADAM23	OR1L1	
																		TLR7	VNN1							MIR1827			CFAP161			PDZK1	SUCLG1	OR1J2	
																		ARMCX1	PRPF4B							MIR1302-1			TBC1D21			PEX10	IL18RAP	SNORA65	
																		TLR8	WASF1							MIR1178			DYX1C1			PEX14	IL1RL2	SNORD62A	
																		MBTPS2	HIST1H3F							MIR1251			CSNK1A1P1			PFDN2	IL18R1	SNORD36C	
																		MAGEC2	HIST1H2AG							MIR4303			SPRED1			PFKFB2	NRP2	SNORD36B	
																		VGLL1	HIST1H2BJ							MIR4304			ODF3L1			PGD	CFLAR	SNORD36A	
																		VCX2	RNF8							MIR3685			ADAL			PGM1	ASAP2	SNORD24	
																		VCX3A	TAAR5							MIR3652			EXD1			PIGC	PER2	RANBP6	
																		ARMCX3	MAP7							MIR3922			FSIP1			PIGR	ST3GAL5	TRUB2	
																		TAF9B	TBX18							MIR3657			RHOV			PIK3C2B	SLC5A6	DNAI1	
																		RBMX2	LATS1							MIR3908			SCAMP5			PIK3CD	DDX18	ST6GALNAC4	
																		STK26	GCM2							LOC100505978			FAM227B			PI4KB	EIF2B4	INVS	
																		CPXCR1	WDR46							LINC01234			CT62			PIN1P1	CDK5R2	NDOR1	
																		CHIC1	ZBTB22							LOC100506551			GRAMD2			PKLR	KYNU	SIT1	
																		FTHL17	TAAR2							PXN-AS1			MGC15885			PKP1	TAF1B	SPINK4	
																		GPR173	TAAR3							NRAV			LCTL			PLA2G2A	NAT8	TOR1B	
																		NLGN3	CD83							LOC100506691			UBR1			PLA2G4A	NMI	TOR2A	
																		SASH3	HMGN3							CLIP1-AS1			PATL2			PLA2G5	CNOT9	NTMT1	
																		TAF7L	PPT2							LOC100507091			SPESP1			PLOD1	COX7A2L	PHPT1	
																		SPIN2A	CDYL							LOC100507377			LINGO1-AS1			PLXNA2	TMSB10	CD274	
																		ARMCX6	NCR2							POC1B-GALNT4			GOLGA2P11			EXOSC10	IL1RL1	ANAPC2	
																		WDR44	MED23							ZNF664-FAM101A			PLA2G4F			PRRX1	LRRFIP1	PKN3	
																		NDUFB11	QKI							MIR4699			LRRC57			POU2F1	STK17B	DPP7	
																		GNL3L	LY86							MIR4498			LYSMD2			POU3F1	ITGB1BP1	PSAT1	
																		ERCC6L	FHL5							MIR4496			WDR72			PPOX	GPR55	UBQLN1	
																		NUP62CL	AKAP7							MIR4495			SNX33			PPP1R8	TRIP12	SLC2A8	
																		GDPD2	ATG5							MIR4472-2			HMGN2P46			PPP2R5A	GTF3C3	OBP2B	
																		BCOR	MED20							MIR4700			SLC24A5			PPT1	PPIG	OBP2A	
																		TBC1D8B	SLC25A27							MIR4497			PRTG			PRCC	NRXN1	ST6GALNAC6	
																		FAM120C	TBPL1							MIR5188			LINC00926			PRELP	OTOF	STOML2	
																		GEMIN8	EEF1E1							MIR5700			EWSAT1			PRKAA2	CIAO1	DEC1	
																		CT55	BAG2							MIR548AQ			REC114			PRKAB2	TGFBRAP1	PCA3	
																		TMEM255A	POLR1C							LOC100996671			ST20-AS1			PRKACB	HS6ST1	AK3	
																		CXorf57	MAD2L1BP							LOC101593348			LINC00927			PKN2	CRIPT	EXOSC3	
																		NUDT11	WTAP							LOC101927415			CPEB1-AS1			PRKCZ	ECEL1	ABHD17B	
																		RBM41	AKAP12							LOC101927464			ACTG1P17			PROX1	MAP4K4	MRPS2	
																		PLCXD1	MDC1							LINC01486			SAXO2			PSEN2	EIF2AK3	COQ4	
																		SAGE1	TRAM2							TESC-AS1			LOC283731			PSMA5	EIF4E2	LOC51145	
																		OTUD5	KIAA0408							LINC01490			FAM98B			PSMB2	ROCK2	CERCAM	
																		ZNF280C	PHACTR2							LOC101928449			PLA2G4D			PSMB4	CHST10	EGFL7	
																		MTMR8	FAM65B							LOC101928617			FBXL22			PSMD4	TP53I3	CDKN2A-AS1	
																		KRBOX4	ZSCAN12							LOC101928731			TMEM202			PTAFR	CIR1	UBAP1	
																		TXLNG	BCLAF1							LOC101928937			LOC338963			PTGER3	MRPL33	GOLM1	
																		MBNL3	CUL7							LOC101929058			GLDN			PTGFR	BRE	PRRX2	
																		WWC3	ZBTB24							LOC101929084			GOLGA6A			PTGFRN	PREPL	SPOUT1	
																		FAM45BP	KIAA0319							CASC18			TMC3			PTGS2	CYTIP	CHMP5	
																		BEX1	SNAP91							LOC101929162			RBPMS2			QSOX1	FEZ2	TRMO	
																		HDAC8	FIG4							MIR6760			ANKDD1A			PTPN7	GCC2	RAB14	
																		ZC4H2	NUP153							MIR6761			MRPL42P5			PTPN14	TTLL4	TMEM8B	
																		NXT2	CASP8AP2							MIR6762			USP50			PTPRC	SOCS5	C9orf78	
																		NKRF	RANBP9							MIR6861			TEX9			PTPRF	EIF5B	SHC3	
																		NXF5	SLC17A4							MIR7107			GOLGA6L5P			PEX19	GREB1	POLE3	
																		NXF4	UST							MIR7641-2			C15orf52			ABCD3	BZW1	NANS	
																		NXF3	TRIM10							MIR7844			TNFAIP8L3			RAB3B	USP34	FBXW5	
																		NXF2	FLOT1							MIR6880			C2CD4B			RAB4A	LAPTM4A	MRPL50	
																		KLHL4	RCAN2							MIR7106			C15orf59			RAB13	HDAC4	RC3H2	
																		TEX13B	SLC17A2							MIR8072			GOLGA2P7			RABGGTB	RNF144A	EPB41L4B	
																		TEX13A	HCG9							THRIL			UBE2Q2P1			RABIF	SNX17	EQTN	
																		TEX11	PRSS16							LINC01498			KBTBD13			RAP1A	SERTAD2	TBC1D13	
																		MOSPD1	CRISP3							LOC102724663			UBAP1L			RAP1GAP	MRPL19	NUTM2F	
																		BEX4	TRDN							LOC102724933			SKOR1			RBBP4	ZEB2	DIRAS2	
																		CTPS2	CITED2							LHX5-AS1			ANKRD34C			RBBP5	FARP2	BNC2	
																		CHST7	BTN3A3							LOC105369860			ADAMTS7P1			REN	TLK1	HAUS6	
																		TCEAL7	BTN2A2							LOC105369879			SHC4			RFX5	SUPT7L	ASPN	
																		GRIPAP1	ECI2							LOC105369891			CTXN2			RGS1	CD302	BSPRY	
																		THOC2	PFDN6							LOC105369893			C15orf53			RGS2	ARHGAP25	APTX	
																		ZNF630	HMGN4							LOC105369911			C15orf54			RGS4	TANK	TOR4A	
																		TMEM27	TRIM38							LOC105369920			ST20			RGS7	BCL2L11	CNTLN	
																		SHROOM4	CAP2							LOC105369921			DUOXA2			RGS13	FARSB	TEX10	
																		KIAA1210	SYNCRIP							LOC105369945			MIR184			RGS16	ABCB6	PLPPR1	
																		NLGN4X	UBD							KCCAT198			MIR190A			RHCE	ACTR3	FOCAD	
																		PCDH19	AGPAT1							LOC105369980			LINC00593			RHD	ACTR2	UBE2R2	
																		RGAG1	SLC35A1							LOC105370014			EIF2AK4			RIT1	ARPC2	EXD3	
																		LRCH2	SCGN							LOC105370016			CATSPER2P1			RLF	PREB	FAM206A	
																		MAGEE1	DNPH1							LOC105370024			UNC13C			RNASEL	ACTR1B	NMRK1	
																		RAP2C	C6orf10							XLOC_009911			UBL7-AS1			RNF2	ARL4C	STX17	
																		MID1IP1	FARS2										GOLGA6L9			RNPEP	LRPPRC	NOL8	
																		ACE2	FUT9										DNM1P41			RNU1-4	PDIA6	SPATA6L	
																		TMEM35A	CNPY3										LOC440300			SNORA73A	ABI2	C9orf40	
																		EDA2R	TRAF3IP2										MIR422A			SNORD21	CEBPZ	TMEM38B	
																		NYX	HBS1L										CKMT1A			RORC	DHRS9	SMU1	
																		BCORL1	SLC17A3										CPLX3			RPA2	TXNDC9	RFK	
																		DUSP21	RPP40										SNORD16			RPE65	MPHOSPH10	NIPSNAP3B	
																		CXorf56	FRS3										SNORD18A			RPL5	CALCRL	STRBP	
																		DMRTC1	SLC22A7										SNORD18B			RPL11	PSMD14	TBC1D2	
																		TSPYL2	HCP5										SNORD18C			RPL22	STAM2	HEMGN	
																		TNMD	EHMT2										SERINC4			RPS6KA1	RAMP1	KIF27	
																		CRLF2	SMPDL3A										GOLGA6L17P			RPS8	SPEG	CDC37L1	
																		PJA1	APOBEC2										LOC642423			RPS27	LANCL1	DENND4C	
																		SPANXD	PNRC1										C15orf62			RSC1A1	NMUR1	RABL6	
																		SPANXC	ASCC3										GOLGA6L4			RXRG	SMYD5	CDK5RAP2	
																		WDR13	RAB32										C15orf56			RYR2	KLHL41	UBAP2	
																		PORCN	TRIM31										PHGR1			S100A1	MYCNOS	PLGRKT	
																		ARMCX5	KATNA1										EIF3J-AS1			SORT1	C1D	CBWD1	
																		UPF3B	BTN3A2										LOC645752			S100A2	MERTK	KLHL9	
																		WNK3	BTN3A1										SH2D7			S100A3	UBE2E3	BARX1	
																		APOO	BTN2A1										LOC646938			S100A4	STK25	RNF20	
																		HMGN5	CAPN11										GOLGA6L10			S100A5	SEMA4F	LRRC8A	
																		NKAP	BVES										EFTUD1P1			S100A6	CCT7	INPP5E	
																		RNF128	NUDT3										GOLGA6C			S100A7	CCT4	NPDC1	
																		MAP7D3	SEC63										GOLGA6D			S100A8	GNLY	OR2S2	
																		MORC4	NRM										HSP90AB4P			S100A9	CDC42EP3	BARHL1	
																		CXorf36	STK38										SCARNA15			S100A10	STAMBP	IFNK	
																		LONRF3	SCAF8										SCARNA14			S100A11	TGOLN2	SH3GLB2	
																		ALG13	CEP162										FBXO22-AS1			S100A12	MTX2	GSN-AS1	
																		MAGIX	ICK										MIR549A			S100A13	CGREF1	REXO4	
																		TCEAL4	ENPP4										MIR626			SARS	B3GNT2	DOLPP1	
																		TRMT2B	ANKRD6										MIR627			SCNN1D	USP39	KIAA1161	
																		POF1B	RIMS1										MIR628			SCP2	TBR1	KCNT1	
																		ASMTL-AS1	DOPEY1										MIR629			XCL1	SIX2	RIC1	
																		CXorf21	ZNF292										MIR630			SDHB	MAP3K2	LOC100499484-C9ORF174	
																		EFHC2	CMTR1										MIR631			SDHC	NCKAP1	ZBTB26	
																		KLHL15	CDK19										LOC727751			SELE	VAMP5	GBA2	
																		PPP1R2P9	CUL9										AGBL1-AS1			SELL	MTHFD2	DENND1A	
																		ESX1	TAB2										PIN4P1			SELP	ARID5A	GPR107	
																		BHLHB9	MDN1										OIP5-AS1			SFPQ	PROKR1	SLC46A2	
																		MAGED4B	TSPYL4										LOC729739			SRSF4	RAB10	LINC00474	
																		LAS1L	ANKS1A										ANKRD34C-AS1			SHC1	EDAR	INIP	
																		GPR101	UBR2										MIR147B			ST3GAL3	COPS8	ZNF462	
																		TMEM47	SASH1										DNM1P35			STIL	GPR75	DMRT3	
																		CD99L2	SYNE1										GABPB1-AS1			SKI	YWHAQ	PRDM12	
																		USP26	UFL1										LOC100129973			SLAMF1	IMMT	NAA35	
																		FRMD8P1	SIRT5										USP3-AS1			SLC1A7	SNRNP27	DMRTA1	
																		MAGT1	PHF3										SRP14-AS1			SLC2A1	GTF2A1L	SLC28A3	
																		TMEM164	HEY2										ANKRD63			SLC2A5	STON1	CARD9	
																		PHF6	DAAM2										DCAF13P3			SLC6A9	RAPGEF4	SUSD1	
																		FRMPD3	GLTSCR1L										GOLGA6L3			SLC9A1	EMILIN1	POLR1E	
